地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
寺田町（ゆりのき台）,収集地区18,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150107,隔月20150119,火 金,隔水20150114,隔水20150114
寺田町（ゆりのき台を除く）,収集地区11,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150107,隔木20150115,火 金,隔月20150105,隔月20150105
寺町,収集地区8,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150198,隔金20150109,隔水20150114,隔木20150122,月 木,隔月20150112,隔月20150112
天神町,収集地区8,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150198,隔金20150109,隔水20150114,隔木20150122,月 木,隔月20150112,隔月20150112
廿里町,収集地区10,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150109,隔金20150109,隔水20150107,隔木20150122,火 金,隔月20150112,隔月20150112
戸吹町,収集地区7,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,火 金,隔金20150109,隔金20150109
長沼町（1515〜1520番地）,収集地区14,木,隔水20150107,隔金20150109,隔金20150116,隔月20150105,隔月20150105,隔月20150105,隔水20150107,隔金20150123,火 金,隔火20150113,隔火20150113
長沼町（1515〜1520番地を除く）,収集地区1,月,隔金20150109,隔火20150106,隔火20150114,隔水20150107,隔水20150107,隔水20150107,隔水20150114,隔火20150120,月 木,隔木20150115,隔木20150115
中野上町１〜５丁目,収集地区6,火,隔月20150105,隔水20150107,隔水20150114,隔木20150108,隔木20150108,隔木20150108,隔水20150107,隔水20150121,火 金,隔金20150116,隔金20150116
中野山王１〜３丁目,収集地区7,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,火 金,隔金20150109,隔金20150109
中野町,収集地区6,火,隔月20150105,隔水20150107,隔水20150114,隔木20150108,隔木20150108,隔木20150108,隔水20150107,隔水20150121,火 金,隔金20150116,隔金20150116
長房町（都営住宅）,収集地区12,木,隔水20150107,隔金20150109,隔金20150116,隔月20150105,隔月20150105,隔月20150105,隔水20150114,隔金20150123,月 木,隔火20150113,隔火20150113
長房町（都営住宅を除く）,収集地区14,木,隔水20150107,隔金20150109,隔金20150116,隔月20150105,隔月20150105,隔月20150105,隔水20150107,隔金20150123,火 金,隔火20150113,隔火20150113
中町,収集地区16,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150114,隔月20150119,月 木,隔水20150114,隔水20150114
中山,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
七国１〜６丁目,収集地区9,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150114,隔木20150115,月 木,隔月20150105,隔月20150105
並木町,収集地区15,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150107,隔金20150116,火 金,隔火20150106,隔火20150106
楢原町,収集地区17,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150114,隔月20150112,月 木,隔水20150107,隔水20150107
南陽台１〜３丁目,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
西浅川町,収集地区10,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150109,隔金20150109,隔水20150107,隔木20150122,火 金,隔月20150112,隔月20150112
